CONCEPT_ID,CONCEPT_HISTORY_ID,CONCEPT_HISTORY_DATE,COMPONENT_ID,COMPONENT_HISTORY_ID,LOGICAL_TYPE,CODELIST_ID,CODELIST_HISTORY_ID,ID,CODE,DESCRIPTION,ATTRIBUTES,RN,CONCEPT_VERSION_ID,CONCEPT_NAME,CODING_SYSTEM,PHENOTYPE_ID,PHENOTYPE_VERSION_ID,PHENOTYPE_NAME,PRIMARY
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169075,H582.,Compensatory emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169044,Hyu30,[X]Other emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169045,Hyu31,[X]Other specified chronic obstructive pulmonary disease,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169076,X101i,"Chron obstruct pulmonary dis wth acute exacerbation, unspec","{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169046,X101j,Occupational chronic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169047,X101k,Byssinosis grade 3,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169048,X101l,Bronchiolitis obliterans,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169049,X101m,Drug-induced bronchiolitis obliterans,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169050,X101n,Pulmonary emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169051,X101o,Pulmonary emphysema in alpha-1 PI deficiency,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169052,X101p,Toxic emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169053,X101q,Congenital lobar emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169054,X101r,Scar emphysema,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169055,X102z,Bronchiolitis obliterans with usual interstitial pneumonitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169077,Xa35l,Acute infective exacerbation chronic obstruct airway disease,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169066,Xaa7C,Eosinophilic bronchitis,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': '', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169122,XaavA,Shared care chronic obstructive pulmonary disease monitoring,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': ''}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
2481,6362,2022-01-17T14:00:11.938099Z,2803,3837,1,2803,3783,169067,Xac33,Asthma-chronic obstructive pulmonary disease overlap syndrom,"{'BREATHE recommended': '', 'OpenSAFELY: Current COPD': 'Y', 'QOF v36 (2016-2017)': 'Y'}",1,6362,Chronic obstructive pulmonary disease (COPD) Primary care -  2,"{'id': 19, 'name': 'CTV3 codes', 'description': 'CTV3 codes'}",PH797,2221,Chronic obstructive pulmonary disease (COPD) Primary care,1
